"""","和　　　　　歌　　　　　山　　　　　県_パルプ・紙・紙加工品工業_季節調整済(※注)","和　　　　　歌　　　　　山　　　　　県_パルプ・紙・紙加工品工業_前年(月･期)比","和　　　　　歌　　　　　山　　　　　県_プラスチック製品工業_季節調整済(※注)","和　　　　　歌　　　　　山　　　　　県_プラスチック製品工業_前年(月･期)比","和　　　　　歌　　　　　山　　　　　県_ゴム製品工業_季節調整済(※注)","和　　　　　歌　　　　　山　　　　　県_ゴム製品工業_前年(月･期)比"
"平成24年3月","105.7","-3.7340619307832412","101.5","1.2974051896207612","115.3","-3.5953177257525084"
"平成24年4月","105.0","-0.6622516556291487","102.0","0.49261083743843415","113.4","-1.6478751084128334"
"平成24年5月","102.5","-2.3809523809523796","103.5","1.470588235294116","93.5","-17.548500881834215"
"平成24年6月","100.6","-1.853658536585371","103.8","0.28985507246378006","103.6","10.80213903743315"
"平成24年7月","102.4","1.789264413518893","105.7","1.830443159922936","91.9","-11.293436293436287"
"平成24年8月","104.7","2.24609375","104.6","-1.040681173131503","80.6","-12.295973884657258"
"平成24年9月","102.7","-1.9102196752626526","104.0","-0.5736137667304035","76.9","-4.590570719602965"
"平成24年10月","110.2","7.302823758519963","103.5","-0.4807692307692264","68.1","-11.443433029908988"
"平成24年11月","104.2","-5.444646098003631","103.7","0.19323671497583916","70.3","3.2305433186490546"
"平成24年12月","97.4","-6.525911708253346","102.3","-1.3500482160077212","73.1","3.982930298719765"
"平成25年1月","99.8","2.464065708418886","104.6","2.24828934506354","84.4","15.458276333789357"
"平成25年2月","107.0","7.214428857715433","103.5","-1.0516252390057304","79.2","-6.161137440758296"
"平成25年3月","100.4","-6.168224299065415","104.3","0.7729468599033851","80.3","1.3888888888888857"
"平成25年4月","99.5","-0.8964143426294982","103.8","-0.47938638542665046","77.8","-3.1133250311332574"
"平成25年5月","104.7","5.226130653266338","104.1","0.2890173410404486","88.0","13.110539845758368"
"平成25年6月","97.4","-6.972301814708686","104.8","0.6724303554274798","75.5","-14.204545454545453"
"平成25年7月","104.8","7.597535934291571","103.7","-1.0496183206106764","81.9","8.476821192052995"
"平成25年8月","100.3","-4.293893129770993","102.7","-0.9643201542912152","72.2","-11.843711843711844"
"平成25年9月","101.9","1.595214356929219","102.6","-0.09737098344693607","78.9","9.279778393351819"
"平成25年10月","106.0","4.023552502453384","103.1","0.4873294346978412","77.3","-2.027883396704695"
"平成25年11月","101.7","-4.0566037735848965","102.8","-0.29097963142579886","76.5","-1.0349288486416413"
"平成25年12月","101.5","-0.19665683382498855","102.9","0.0972762645914429","87.1","13.85620915032679"
"平成26年1月","105.6","4.039408866995075","106.0","3.012633624878518","84.3","-3.2146957520091775"
"平成26年2月","110.5","4.640151515151516","107.5","1.415094339622641","79.5","-5.693950177935932"
"平成26年3月","112.2","1.538461538461533","106.6","-0.83720930232559","78.8","-0.8805031446540852"
"平成26年4月","102.8","-8.377896613190742","103.3","-3.0956848030018733","68.0","-13.705583756345177"
"平成26年5月","102.3","-0.48638132295720027","103.2","-0.09680542110356782","68.9","1.3235294117647243"
"平成26年6月","101.8","-0.4887585532746783","103.2","0.0","73.1","6.095791001451374"
"平成26年7月","100.8","-0.982318271119837","101.6","-1.5503875968992276","78.1","6.83994528043776"
"平成26年8月","91.9","-8.829365079365076","101.5","-0.09842519685039974","78.3","0.25608194622279257"
"平成26年9月","98.2","6.855277475516857","100.9","-0.5911330049261068","83.3","6.385696040868453"
"平成26年10月","99.4","1.2219959266802363","98.6","-2.2794846382557097","83.1","-0.24009603841537341"
"平成26年11月","95.8","-3.6217303822937765","97.0","-1.6227180527383211","78.2","-5.896510228640182"
"平成26年12月","99.5","3.862212943632585","97.2","0.20618556701030855","79.1","1.1508951406649572"
